id,schoolName,location,tags,urls,cert
1540,安徽邮电职业技术学院,安徽合肥市,专科（高职）;理工类;公办,http://www.ahptc.cn/,NULL
1541,安徽工业职业技术学院,安徽铜陵市,专科（高职）;理工类;公办,http://www.ahip.cn/zsc/main.htm;http://www.ahip.cn,NULL
1542,安徽三联学院,安徽合肥市,普通本科;理工类;民办,https://zsb.slu.edu.cn/;https://www.slu.edu.cn/,NULL
1543,安徽新华学院,安徽合肥市,普通本科;综合类;民办,https://zhaosheng.axhu.edu.cn/;http://www.axhu.edu.cn,NULL
1544,民办万博科技职业学院,安徽合肥市,专科（高职）;综合类;民办,http://zs.wbc.edu.cn/;http://www.wbc.edu.cn,NULL
1545,合肥共达职业技术学院,安徽合肥市,专科（高职）;理工类;民办,http://www.hfgdxy.cn/DzsIndex/index/classid/177.html;http://www.hfgdxy.cn/,NULL
1546,安徽绿海商务职业学院,安徽合肥市,专科（高职）;财经类;民办,http://zs.lhub.cn;https://www.lhub.cn/,NULL
1547,民办合肥经济技术职业学院,安徽合肥市,专科（高职）;综合类;民办,http://www.hfet.com/SortHtml/2/List_189.html;http://www.hfet.com,NULL
1548,民办合肥财经职业学院,安徽合肥市,专科（高职）;财经类;民办,http://www.hfcfe.edu.cn/index.php?m=content&c=index&a=lists&catid=40;http://www.hfcfe.edu.cn/,NULL
1549,阜阳科技职业学院,安徽阜阳市,专科（高职）;理工类;民办,http://www.fky.net.cn/,NULL
1550,安徽文达信息工程学院,安徽合肥市,普通本科;理工类;民办,http://www.wenda.edu.cn/zs/;http://www.wenda.edu.cn/index.html,NULL
1551,蚌埠经济技术职业学院,安徽蚌埠市,专科（高职）;财经类;民办,http://www.bjy.ah.cn/info.php?class_id=107;http://www.bjy.ah.cn,NULL
1552,武夷学院,福建南平市,普通本科;综合类;公办,https://www.wuyiu.edu.cn/zsb/;http://www.wuyiu.edu.cn/,NULL
1553,福建警察学院,福建福州市,普通本科;政法类;公办,http://zsw.fjpsc.edu.cn/;http://www.fjpsc.edu.cn/,NULL
1554,宁德师范学院,福建宁德市,普通本科;师范类;公办,http://zsb.ndnu.edu.cn/;http://www.ndnu.edu.cn/,NULL
1555,福建商学院,福建福州市,普通本科;财经类;公办,https://zsb.fjbu.edu.cn/;http://www.fjbu.edu.cn/,NULL
1556,厦门医学院,福建厦门市,普通本科;医药类;公办,https://www.xmmc.edu.cn/zsxx/;https://www.xmmc.edu.cn/,NULL
1557,泉州医学高等专科学校,福建泉州市,专科（高职）;医药类;公办;国家级骨干,https://zsjyc.qzmc.edu.cn/;http://www.qzmc.edu.cn,NULL
1558,福建船政交通职业学院,福建福州市,专科（高职）;理工类;公办;国家示范性高等职业院校;现代学徒制试点院校;高水平学校建设单位（C档）,http://www.fjcpc.edu.cn/zs;http://www.fjcpc.edu.cn/,NULL
1559,漳州职业技术学院,福建漳州市,专科（高职）;理工类;公办;国家示范性高等职业院校;现代学徒制试点院校;高水平专业群建设单位（B档）,https://zs.fjzzit.edu.cn/;https://www.fjzzit.edu.cn/,NULL
1560,闽西职业技术学院,福建龙岩市,专科（高职）;综合类;公办;国家级骨干;现代学徒制试点院校,https://www.mxdx.net/zsxxw/;http://www.mxdx.net/,NULL
1561,福州职业技术学院,福建福州市,专科（高职）;综合类;公办;现代学徒制试点院校;高水平专业群建设单位（B档）,http://www.fvti.cn/zszl/;http://www.fvti.cn,NULL
1562,福建林业职业技术学院,福建南平市,专科（高职）;农林类;公办;国家级骨干;现代学徒制试点院校,http://www.fjlzy.com/zsjy/;http://www.fjlzy.com,NULL
1563,福建信息职业技术学院,福建福州市,专科（高职）;理工类;公办;国家级骨干;高水平专业群建设单位（A档）,http://www.mitu.cn/zs/;http://www.mitu.cn,NULL
